Territorialidade,Posicao IDHM 2010,IDHM 2010,Posicao IDHM Renda 2010,IDHM Renda 2010,Posicao IDHM Educacao 2010,IDHM Educacao 2010,Posicao IDHM Longevidade 2010,IDHM Longevidade 2010,Posicao IDHM 2000,IDHM 2000,Posicao IDHM Renda 2000,IDHM Renda 2000,Posicao IDHM Educacao 2000,IDHM Educacao 2000,Posicao IDHM Longevidade 2000,IDHM Longevidade 2000
SE#MG#Brumadinho #,599,0.747,281,0.761,1209,0.639,501,0.857,1041,0.627,814,0.676,1134,0.473,1523,0.771
NE#BA#Brumado #,2986,0.656,3173,0.63,2908,0.554,2805,0.807,2976,0.519,3138,0.565,2774,0.352,3564,0.702
S#SC#Brunópolis #,2870,0.661,2908,0.646,3100,0.545,2216,0.819,3481,0.481,3008,0.574,4172,0.249,1288,0.778
S#SC#Brusque #,56,0.795,66,0.794,269,0.707,1,0.894,52,0.72,94,0.744,147,0.588,17,0.854
SE#MG#Bueno Brandão #,2946,0.658,2613,0.662,3847,0.507,792,0.848,2497,0.55,1275,0.656,3289,0.312,347,0.814
SE#MG#Buenópolis #,2691,0.669,2842,0.65,2352,0.579,3292,0.796,2597,0.544,2778,0.587,2139,0.398,3874,0.689
NE#PE#Buenos Aires #,4309,0.593,4551,0.556,4306,0.481,3831,0.778,3975,0.447,4660,0.468,3751,0.278,3910,0.687
NE#BA#Buerarema #,3847,0.613,3562,0.604,4066,0.495,4064,0.772,4452,0.42,4135,0.496,4371,0.236,4958,0.631
SE#MG#Bugre #,3534,0.627,3590,0.602,3774,0.511,3129,0.8,3714,0.464,4054,0.502,3819,0.274,2984,0.724
NE#PE#Buíque #,5416,0.527,5446,0.497,5362,0.395,4860,0.746,5089,0.377,5180,0.434,5127,0.179,3824,0.692
N#AC#Bujari #,4416,0.589,3576,0.603,4964,0.439,4064,0.772,3771,0.46,3377,0.546,4127,0.252,3438,0.707
N#PA#Bujaru #,5169,0.552,5457,0.495,4988,0.437,3775,0.779,4824,0.395,4777,0.461,5028,0.188,3285,0.712
SE#SP#Buri #,2738,0.667,2984,0.642,2377,0.578,3167,0.799,2633,0.542,2405,0.606,2487,0.373,3479,0.706
SE#SP#Buritama #,320,0.763,692,0.736,168,0.72,1238,0.839,488,0.66,584,0.689,316,0.556,2296,0.749
NE#MA#Buriti #,5225,0.548,5513,0.479,4332,0.48,5359,0.714,5059,0.379,5345,0.418,4614,0.221,5450,0.588
CO#GO#Buriti Alegre #,1595,0.71,1576,0.7,1703,0.614,1603,0.831,1774,0.589,1600,0.642,1903,0.414,1584,0.769
NE#MA#Buriti Bravo #,4395,0.59,4927,0.539,3868,0.506,4697,0.752,4824,0.395,5092,0.44,4599,0.222,4958,0.631
CO#GO#Buriti de Goiás #,2251,0.687,1372,0.707,2557,0.57,2849,0.806,2809,0.53,3286,0.552,2429,0.377,3164,0.717
N#TO#Buriti do Tocantins #,3534,0.627,4089,0.575,1945,0.601,5367,0.713,3743,0.462,4678,0.467,2702,0.357,5428,0.592
NE#PI#Buriti dos Lopes #,4941,0.565,4804,0.544,4808,0.452,5063,0.735,5017,0.382,4728,0.464,4909,0.199,5344,0.604
NE#PI#Buriti dos Montes #,4764,0.574,5140,0.527,4693,0.46,3751,0.78,5184,0.368,5058,0.443,5186,0.173,4603,0.648
NE#MA#Buriticupu #,5116,0.556,5037,0.533,4758,0.455,5415,0.708,5368,0.342,3884,0.513,5447,0.129,5325,0.606
CO#GO#Buritinópolis #,1776,0.704,870,0.727,2133,0.591,2504,0.813,4220,0.433,5219,0.431,4127,0.252,2258,0.75
NE#BA#Buritirama #,4941,0.565,5393,0.504,4502,0.471,4430,0.761,5405,0.335,5532,0.374,5323,0.154,4550,0.651
NE#MA#Buritirana #,4562,0.583,4903,0.54,3883,0.505,5227,0.725,5101,0.376,5437,0.405,4672,0.217,5357,0.603
SE#MG#Buritis #,2621,0.672,2513,0.666,2816,0.558,2407,0.815,2231,0.566,1155,0.661,2397,0.379,3018,0.723
N#RO#Buritis #,3771,0.616,2842,0.65,4351,0.479,4732,0.751,4536,0.415,1180,0.66,5270,0.161,4162,0.672
SE#SP#Buritizal #,897,0.735,548,0.743,1133,0.643,1647,0.83,1405,0.608,1455,0.649,1463,0.449,1492,0.772
SE#MG#Buritizeiro #,3607,0.624,3576,0.603,3502,0.524,4204,0.768,3262,0.497,3720,0.524,2946,0.338,3759,0.695
S#RS#Butiá #,2199,0.689,1858,0.691,2816,0.558,792,0.848,1973,0.579,1630,0.641,2080,0.402,2140,0.753
N#AM#Caapiranga #,4869,0.569,4804,0.544,4999,0.436,3948,0.775,4713,0.403,4575,0.472,4785,0.209,4278,0.665
NE#PB#Caaporã #,4101,0.602,4322,0.565,3814,0.509,4552,0.757,4655,0.407,4172,0.494,4645,0.219,5090,0.625
CO#MS#Caarapó #,2134,0.692,2266,0.676,2111,0.592,1747,0.828,2529,0.548,2465,0.603,2444,0.376,2914,0.727
NE#BA#Caatiba #,5027,0.561,3998,0.579,5287,0.406,4697,0.752,5339,0.348,4951,0.45,5378,0.144,4603,0.648
NE#PB#Cabaceiras #,3884,0.611,4116,0.574,3522,0.523,4484,0.759,3636,0.47,3969,0.507,3450,0.3,3962,0.684
NE#BA#Cabaceiras do Paraguaçu #,4614,0.581,5172,0.525,4163,0.49,4366,0.763,4917,0.389,4920,0.452,4829,0.206,4958,0.631
SE#MG#Cabeceira Grande #,3156,0.648,3048,0.638,3163,0.542,3570,0.788,2923,0.523,3008,0.574,3137,0.324,1523,0.771
CO#GO#Cabeceiras #,2716,0.668,3068,0.637,2531,0.571,2216,0.819,2563,0.546,2913,0.579,2110,0.4,3564,0.702
NE#PI#Cabeceiras do Piauí #,4562,0.583,4903,0.54,4409,0.476,4168,0.769,5234,0.362,5510,0.383,4965,0.194,4876,0.636
NE#PB#Cabedelo #,583,0.748,116,0.782,1010,0.651,2064,0.822,1586,0.599,471,0.697,1617,0.437,3479,0.706
N#RO#Cabixi #,3115,0.65,2842,0.65,2798,0.559,4552,0.757,3381,0.488,2447,0.604,3655,0.284,4082,0.677
NE#PE#Cabo de Santo Agostinho #,2282,0.686,2767,0.654,1782,0.609,2562,0.812,2551,0.547,3129,0.566,2202,0.394,2774,0.734
SE#RJ#Cabo Frio #,897,0.735,548,0.743,1193,0.64,1370,0.836,1298,0.614,390,0.702,1698,0.431,1761,0.764
SE#MG#Cabo Verde #,2573,0.674,1996,0.686,3434,0.527,846,0.847,1796,0.588,297,0.711,2397,0.379,2107,0.754
SE#SP#Cabrália Paulista #,2078,0.694,2490,0.667,1615,0.619,2611,0.811,2017,0.577,2325,0.609,1775,0.425,2436,0.744
SE#SP#Cabreúva #,823,0.738,1111,0.717,606,0.678,1747,0.828,1069,0.626,757,0.679,1373,0.456,793,0.794
NE#PE#Cabrobó #,3631,0.623,3955,0.581,3223,0.539,4028,0.773,3686,0.466,3584,0.533,3887,0.269,3411,0.708
S#SC#Caçador #,897,0.735,848,0.728,1593,0.62,98,0.878,1545,0.601,772,0.678,2139,0.398,493,0.806
SE#SP#Caçapava #,76,0.788,349,0.754,36,0.755,473,0.858,161,0.694,187,0.724,256,0.565,291,0.817
S#RS#Caçapava do Sul #,1776,0.704,1605,0.699,2245,0.585,551,0.855,1586,0.599,1455,0.649,1838,0.42,1031,0.787
N#RO#Cacaulândia #,3186,0.646,2562,0.664,3868,0.506,3077,0.801,3858,0.454,1500,0.647,4829,0.206,3548,0.703
S#RS#Cacequi #,1904,0.7,2149,0.68,1473,0.626,2805,0.807,1957,0.58,2305,0.61,1667,0.433,2654,0.737
CO#MT#Cáceres #,1665,0.708,1858,0.691,1329,0.633,2504,0.813,1844,0.586,1545,0.645,1887,0.415,2211,0.751
NE#BA#Cachoeira #,3172,0.647,3403,0.615,2399,0.577,4400,0.762,3011,0.516,3377,0.546,2499,0.372,4106,0.675
CO#GO#Cachoeira Alta #,1595,0.71,415,0.75,2578,0.569,1183,0.84,1973,0.579,835,0.675,2332,0.384,2258,0.75
SE#MG#Cachoeira da Prata #,743,0.741,1915,0.689,269,0.707,1464,0.834,626,0.651,1771,0.635,287,0.56,1346,0.776
CO#GO#Cachoeira de Goiás #,1107,0.727,2149,0.68,668,0.674,1281,0.838,2052,0.575,2662,0.594,1582,0.44,2932,0.726
SE#MG#Cachoeira de Minas #,1720,0.706,2343,0.673,1248,0.637,2112,0.821,1405,0.608,2024,0.623,1446,0.45,563,0.803
SE#MG#Cachoeira de Pajeú #,4670,0.578,4376,0.563,4909,0.444,4100,0.771,4504,0.417,4491,0.477,4565,0.224,4067,0.678
N#PA#Cachoeira do Arari #,5253,0.546,5172,0.525,5342,0.398,3831,0.778,4319,0.427,3423,0.543,4869,0.202,3285,0.712
N#PA#Cachoeira do Piriá #,5557,0.473,5553,0.449,5552,0.303,3775,0.779,5520,0.301,5430,0.406,5527,0.102,4372,0.661
S#RS#Cachoeira do Sul #,719,0.742,621,0.739,1050,0.648,581,0.854,476,0.661,632,0.686,748,0.505,120,0.832
NE#PB#Cachoeira dos Índios #,4467,0.587,3908,0.583,4793,0.453,4272,0.766,4842,0.394,4678,0.467,4915,0.198,4390,0.66
CO#GO#Cachoeira Dourada #,1969,0.698,1473,0.703,1921,0.602,2940,0.804,1774,0.589,1566,0.644,2023,0.406,1206,0.782
SE#MG#Cachoeira Dourada #,1133,0.726,1741,0.695,1050,0.648,722,0.85,1256,0.616,1180,0.66,1463,0.449,1031,0.787
NE#MA#Cachoeira Grande #,5345,0.537,5562,0.422,4409,0.476,4028,0.773,5356,0.344,5551,0.362,5147,0.177,4819,0.637
SE#SP#Cachoeira Paulista #,304,0.764,765,0.733,127,0.728,1315,0.837,297,0.676,707,0.682,309,0.557,368,0.813
SE#RJ#Cachoeiras de Macacu #,1904,0.7,1741,0.695,1904,0.603,2307,0.817,1957,0.58,1582,0.643,2080,0.402,2064,0.756
NE#PE#Cachoeirinha #,4654,0.579,3834,0.587,4964,0.439,4661,0.753,3481,0.481,3286,0.552,3640,0.285,3479,0.706
S#RS#Cachoeirinha #,420,0.757,435,0.749,648,0.675,501,0.857,328,0.672,405,0.701,528,0.529,245,0.82
N#TO#Cachoeirinha #,3534,0.627,4720,0.548,2157,0.59,4400,0.762,4048,0.443,5400,0.411,3185,0.321,4390,0.66
